segmento,ruta,rutas_fuente,es_principal,criterio_seleccion,pax_2019,pax_2020,pax_2021,pax_2022,pax_2023,pax_2024,pax_2025,pax_2019_1s,pax_2026_1s,var_2025,var_2026_1s,valoracion
internacional,Región Buenos Aires - México DF,Ezeiza - México DF,True,≥200.000 pasajeros en 2019 y 2025,214500,72050,56038,148788,183186,218229,205144,116470,91099,-4.361771561771565,-21.78329183480725,Recuperación incompleta
internacional,Región Buenos Aires - Santa Cruz de la Sierra,Aeroparque - Santa Cruz de la Sierra | Ezeiza - Santa Cruz de la Sierra,True,≥200.000 pasajeros en 2019 y 2025,210569,76110,69004,203521,228983,246152,203829,105259,93990,-3.200851027454188,-10.705972885928993,Recuperación incompleta
internacional,Región Buenos Aires - Atlanta,Ezeiza - Atlanta,False,,157197,30823,37357,101102,146046,158791,195595,82930,107361,24.426674809315706,29.45978536114795,Recuperación amplia
internacional,Región Buenos Aires - Paris,Ezeiza - Paris,False,,192432,55086,46692,128400,192812,175457,193684,95006,101410,0.6506194395942355,6.740626907774239,Igualó el nivel de 2019
internacional,Región Buenos Aires - Montevideo,Aeroparque - Montevideo | Ezeiza - Montevideo,True,≥200.000 pasajeros en 2019,259741,44499,12596,139601,225600,243813,182816,124501,90196,-29.61604059428431,-27.553995550236543,Muy por debajo de 2019
internacional,Región Buenos Aires - Amsterdam,Ezeiza - Amsterdam,False,,188900,53648,51274,147257,166068,163028,172306,104679,90655,-8.78454208575966,-13.397147469884118,Recuperación incompleta
internacional,Córdoba - Rio de Janeiro,Córdoba - Rio de Janeiro,False,,99522,34769,0,15408,43857,79011,166330,52496,106918,67.12887602741102,103.66885096007317,Recuperación amplia
internacional,Región Buenos Aires - Salvador,Aeroparque - Salvador | Ezeiza - Salvador,False,,122949,26648,758,40950,80629,105691,140282,72544,90645,14.097715312853287,24.951753418614906,Recuperación clara
internacional,Córdoba - Santiago,Córdoba - Santiago,False,,189319,33861,6408,72386,98118,103984,131299,112376,51886,-30.646686280827595,-53.828219548658076,Muy por debajo de 2019
internacional,Mendoza - San Pablo,Mendoza - San Pablo,False,,78879,16614,5367,71479,143342,142783,128975,36684,60698,63.509932935255264,65.46178170319486,Recuperación amplia
internacional,Córdoba - Lima,Córdoba - Lima,False,,111629,21647,4761,49724,76339,97829,124157,57771,70919,11.22289010920101,22.75882363123367,Recuperación clara
internacional,Región Buenos Aires - Cancún,Ezeiza - Cancún,False,,109664,37169,20990,76715,79750,101303,112279,57112,53661,2.3845564633790506,-6.042512956996782,Igualó el nivel de 2019
internacional,Panamá - Rosario,Rosario - Panamá,False,,97746,20697,0,61727,98110,102457,100293,49956,88421,2.605733226935114,76.99775802706381,Igualó el nivel de 2019
internacional,Región Buenos Aires - Punta del Este,Aeroparque - Punta del Este,False,,117961,43743,9177,60945,76643,81670,93797,85521,64994,-20.484736480701248,-24.00229183475404,Muy por debajo de 2019
internacional,Mendoza - Panamá,Mendoza - Panamá,False,,57460,11812,3862,63941,80032,80569,84933,32010,49742,47.812391228680816,55.39518900343643,Recuperación amplia
internacional,Región Buenos Aires - Porto Alegre,Aeroparque - Porto Alegre | Ezeiza - Porto Alegre,False,,114263,20253,325,34429,74268,30317,73834,55318,52264,-35.38240725344161,-5.520806970606317,Muy por debajo de 2019
internacional,Región Buenos Aires - Dallas-Fort Worth,Ezeiza - Dallas-Fort Worth,False,,157056,44376,56900,94662,111301,70795,68826,78220,48261,-56.17741442542788,-38.30094604960368,Muy por debajo de 2019
internacional,Lima - Mendoza,Mendoza - Lima,False,,65408,11490,2,6368,41238,57359,66952,38678,35313,2.3605675146771032,-8.700036196287297,Igualó el nivel de 2019
internacional,Lima - Salta,Salta - Lima,False,,39432,7908,8,5,2769,44056,63590,24191,23956,61.26496246703186,-0.9714356578892969,Recuperación amplia
internacional,Rio de Janeiro - Rosario,Rosario - Rio de Janeiro,False,,82601,30613,3,2637,18830,44539,63045,42329,52437,-23.675258168787305,23.879609723830008,Muy por debajo de 2019
internacional,Región Buenos Aires - Curitiba,Aeroparque - Curitiba | Ezeiza - Curitiba,False,,68746,14502,13,31341,50712,79135,52030,30086,27402,-24.31559654379891,-8.921092867114277,Muy por debajo de 2019
internacional,Región Buenos Aires - Brasília,Ezeiza - Brasília,False,,110497,18387,150,197,143,7561,50181,60978,24743,-54.586097360109335,-59.423070615631865,Muy por debajo de 2019
internacional,Bariloche - San Pablo,Bariloche - San Pablo,False,,22035,0,0,15081,17890,22826,50044,0,7090,127.11141366008624,,Recuperación amplia
internacional,Región Buenos Aires - Porto Seguro,Aeroparque - Porto Seguro | Ezeiza - Porto Seguro,False,,35056,11181,0,5140,6035,32730,48945,17947,25593,39.619465997261514,42.603220593971145,Recuperación amplia
internacional,Córdoba - San Pablo,Córdoba - San Pablo,False,,66095,11086,9,16568,43854,14902,46776,40788,59495,-29.229139874423183,45.863979601843674,Muy por debajo de 2019
internacional,Región Buenos Aires - Recife,Ezeiza - Recife,False,,47636,13659,4,2,7,6250,42667,26050,38504,-10.431186497606848,47.80806142034548,Recuperación incompleta
internacional,Córdoba - Punta Cana,Córdoba - Punta Cana,False,,5515,2340,0,0,0,7949,38387,2380,43439,596.0471441523118,1725.1680672268908,Recuperación amplia
internacional,Lima - Rosario,Rosario - Lima,False,,95292,19326,0,0,0,3139,27706,50588,19292,-70.92515636149939,-61.86447378825017,Muy por debajo de 2019
internacional,Región Buenos Aires - Fortaleza,Ezeiza - Fortaleza,False,,15456,3516,156,479,2,26450,23393,7532,10970,51.35222567287785,45.645246946362185,Recuperación amplia
internacional,Córdoba - Florianópolis,Córdoba - Florianópolis,False,,9270,4928,0,5197,5660,9939,20424,8938,38119,120.32362459546925,326.4824345491161,Recuperación amplia
internacional,Región Buenos Aires - Natal,Ezeiza - Natal,False,,11087,4449,0,468,9199,13751,13967,6135,33097,25.976368720122657,439.47840260798694,Recuperación amplia
internacional,Región Buenos Aires - Maceió,Ezeiza - Maceió,False,,6945,1356,0,428,12474,12084,13849,3678,22621,99.40964722822174,515.0353452963567,Recuperación amplia
internacional,Florianópolis - Rosario,Rosario - Florianópolis,False,,5622,1957,0,20,2526,134,13047,5479,16421,132.07043756670225,199.7079759080124,Recuperación amplia
internacional,Bariloche - Campinas,Bariloche - Campinas,False,,16073,3125,0,0,0,13963,12341,1947,927,-23.21906302494867,-52.38828967642527,Muy por debajo de 2019
internacional,Asunción - Córdoba,Córdoba - Asunción,False,,58030,10900,1,75488,49641,9302,11809,29365,2335,-79.65018094089264,-92.04835688745105,Muy por debajo de 2019
internacional,Córdoba - Recife,Córdoba - Recife,False,,15780,3092,0,0,0,0,9843,7758,10305,-37.623574144486696,32.83062645011601,Muy por debajo de 2019
internacional,Región Buenos Aires - Belo Horizonte,Ezeiza - Belo Horizonte,False,,123531,18953,398,8,738,13524,7465,79031,1095,-93.95698245784459,-98.6144677405069,Muy por debajo de 2019
internacional,Región Buenos Aires - João Pessoa,Ezeiza - João Pessoa,False,,7848,1926,0,0,2535,4929,6104,3770,0,-22.22222222222222,-100.0,Muy por debajo de 2019
internacional,Asunción - Salta,Salta - Asunción,False,,224,0,18,29,8,24,5175,224,2136,2210.2678571428573,853.5714285714287,Recuperación amplia
internacional,Santiago - Ushuaia,Ushuaia - Santiago,False,,5626,3302,1078,1368,3657,3412,3717,3869,1841,-33.93174546747245,-52.41664512794004,Muy por debajo de 2019
internacional,Córdoba - Salvador,Córdoba - Salvador,False,,12677,2755,0,0,0,0,3498,5661,182,-72.40672083300466,-96.78502031443207,Muy por debajo de 2019
internacional,Córdoba - Porto Seguro,Córdoba - Porto Seguro,False,,4171,2125,0,0,0,0,3396,4159,2349,-18.58067609685926,-43.5200769415725,Recuperación incompleta
internacional,Región Buenos Aires - Londres (Heathrow),Ezeiza - Londres (Heathrow),False,,174145,36850,6135,24623,70535,1850,3224,90395,1404,-98.14866921243791,-98.44681674871397,Muy por debajo de 2019
internacional,Región Buenos Aires - Auckland,Ezeiza - Auckland,False,,95121,27766,0,100,0,0,3061,50846,23451,-96.78199346096025,-53.878377846831604,Muy por debajo de 2019
internacional,Lima - Tucumán,Tucumán - Lima,False,,51404,11499,0,0,0,6,1334,28327,9248,-97.40487121624777,-67.35270236876478,Muy por debajo de 2019
internacional,Región Buenos Aires - Campinas,Ezeiza - Campinas,False,,139096,44118,165,690,72,1250,509,51752,64,-99.63406568125612,-99.87633328180553,Muy por debajo de 2019
internacional,Rosario - Santiago,Rosario - Santiago,False,,27815,0,0,12,51,0,304,22389,0,-98.90706453352507,-100.0,Muy por debajo de 2019
