A¤o;RutaCompleta;Aerolinea Nombre;Clase de vuelo;Pax;Asientos_Pax;Vuelos
2025;AEP - MOR;;No Regular Cabotaje;0;0;1
2022;AEP - MVD;;Av. Gral Internacional;70;65;8
2023;AEP - MVD;;Av. Gral Internacional;58;0;32
2024;AEP - MVD;;Av. Gral Internacional;96;0;48
2025;AEP - MVD;;Av. Gral Internacional;227;0;33
2022;AEP - MVD;;No Regular Internacional;50;567;22
2023;AEP - MVD;;No Regular Internacional;105;0;47
2024;AEP - MVD;;No Regular Internacional;184;869;114
2025;AEP - MVD;;No Regular Internacional;120;0;49
2023;AEP - MVD;;Regular Internacional;11;0;1
2024;AEP - NAT;;Av. Gral Internacional;2;;1
2023;AEP - NAT;;No Regular Internacional;2;;1
2022;AEP - NCJ;;Av. Gral Cabotaje;2;0;0,5
2023;AEP - NCJ;;Av. Gral Cabotaje;0;;0,5
2025;AEP - NCJ;;Av. Gral Cabotaje;0,5;0;0,5
2022;AEP - NCJ;;No Regular Cabotaje;0;;0,5
2023;AEP - NCJ;;No Regular Cabotaje;6,5;0;2
2024;AEP - NCJ;;No Regular Cabotaje;5,5;0;1,5
2023;AEP - NEC;;Av. Gral Cabotaje;7;0;2,5
2022;AEP - NEC;;No Regular Cabotaje;2;;0,5
2023;AEP - NEC;;No Regular Cabotaje;2,5;0;1
2022;AEP - NQN;;Av. Gral Cabotaje;245;70;91,5
2023;AEP - NQN;;Av. Gral Cabotaje;299;395;145,5
2024;AEP - NQN;;Av. Gral Cabotaje;162,5;0;40,5
2025;AEP - NQN;;Av. Gral Cabotaje;143;114;40,5
2022;AEP - NQN;;No Regular Cabotaje;202;32;73
2023;AEP - NQN;;No Regular Cabotaje;272;32;88,5
2024;AEP - NQN;;No Regular Cabotaje;46,5;0;14
