IDProy;CategObra;Obra;ObraWeb;Total;IATA;SNA;Provincia;total_m;anterior_m;a2025_m;a2026_m;a2027_m;posterior_m;Ant1024;agosto;septiembre;octubre;noviembre;diciembre;A2025;A2026;A2027;PeriPost
222 - 11,25 ;Terminal de pasajeros;GOIA - Aeropuerto Resistencia - Terminal de Pasajeros - Modificacion de Monto;Terminal de Pasajeros;22003958511;RES;Grupo A;CHACO;22003,96 M;2875,77 M;4038,46 M;12076,91 M;3012,82 M;0,00 M;2875772795;288513592;1121007861;600321246;612301050;1416311965;4038455715;12076911429;3012818572;0
285 - 11,25;Plataforma;GOIA - Aeroparque Jorge Newbery - Ampliacion Plataforma Sur - Etapa 2 - Modificacion de Monto; Ampliacion Plataforma Sur - Etapa 2;2423701389;AEP;Grupo A;CABA;2423,70 M;2323,70 M;100,00 M;0,00 M;0,00 M;0,00 M;2323701389;100000000;0;0;0;0;100000000;0;0;0
357 - 11,25 ;Plataforma;GOIA - Aeropuerto Río Gallegos - Iluminacion de Plataforma -Modificacion de Monto - ;Iluminacion de Plataforma;221568777;RGL;Grupo A;SANTA CRUZ;221,57 M;191,57 M;30,00 M;0,00 M;0,00 M;0,00 M;191568777,1;0;0;30000000;0;0;30000000;0;0;0
358 - 11,25;Sistema de aproximacion;GOIA - Aeropuerto Santiago del Estero - Nuevo Sistema de Aproximacion en Pista 03 - Instalacion ;Nuevo Sistema de Aproximacion en Pista 03 - Instalacion ;893798709,6;SDE;Grupo A;SANTIAGO DEL ESTERO;893,80 M;761,40 M;132,40 M;0,00 M;0,00 M;0,00 M;761398038;0;0;132400672;0;0;132400672;0;0;0
389 - 11,25 ;Torre de Control;GOIA - Aeropuerto Resistencia - Alimentacion Torre de Control;Alimentacion Torre de Control;629609064,6;RES;Grupo A;CHACO;629,61 M;560,60 M;69,01 M;0,00 M;0,00 M;0,00 M;560599165;0;0;69009899;0;0;69009899;0;0;0
390 - 11,25;Pista;GPA - Aeropuerto Río Gallegos - Rehabilitacion de Pista, Rodaje y Plataforma - Modificacion de Monto;Rehabilitacion de Pista, Rodaje y Plataforma;36139556939;RGL;Grupo A;Grupo A;36139,56 M;0;19079,66 M;17059,90 M;0,00 M;0,00 M;0;7685723586;249570816;509102330;2077174399;8558083956;19079655087;17059901852;0;0
393 - 11,25;Terminal de pasajeros;GOIA - Aeropuerto Salta - Ampliacion Terminal de Pasajeros - Modificacion de Monto;Ampliacion Terminal de Pasajeros;114164229422;SLA;Grupo A;SALTA;114164,23 M;30763,78 M;20440,81 M;57000,87 M;5958,76 M;0,00 M;30763784296;1500000000;1840003508;5694605623;5128638466;6277564975;20440812572;57000874759;5958757795;0
476 - 11,25;Pista;GOIA - Aeropuerto Puerto Madryn - Rehabilitacion de Pista y Rodaje;Rehabilitacion de Pista y Rodaje;14365461763;PMY;Grupo A;CHUBUT;14365,46 M;13565,46 M;800,00 M;0,00 M;0,00 M;0,00 M;13565461763;0;0;800000000;0;0;800000000;0;0;0
479 - 11,25;Terminal de pasajeros;GOIA - Aeropuerto San Rafael - Remodelacion y Ampliacion de la Terminal de Pasajeros - Modificacion de Monto - ;Remodelacion y Ampliacion de la Terminal de Pasajeros;1559027313;AFA;Grupo A;MENDOZA;1559,03 M;1539,03 M;20,00 M;0,00 M;0,00 M;0,00 M;1539027313;20000000;0;0;0;0;20000000;;0;0
44 - 7;Contra Incendios;GOYEU - Aeropuerto 28 de Noviembre  - Provincia de Santa Cruz - Nueva instalacion contra incendio y sala de bombas en terminal Aeroportuaria - Modificacion de Monto - ;Nueva instalacion contra incendio y sala de bombas en terminal Aeroportuaria;89471510;RYO;Grupo B;SANTA CRUZ;89,47 M;0,00 M;0,00 M;89,47 M;0,00 M;0,00 M;0;0;0;0;0;0;0;89471510;0;0
